project_id,customer_id,project_name,billing_type,project_start_date,project_end_date
PRJ2000,CUST1037,Customer_38_Expansion,Milestone-Based,2025-07-15,2026-05-27
PRJ2001,CUST1047,Customer_48_Rollout,Time & Materials,2025-11-06,2026-10-02
PRJ2002,CUST1007,Customer_8_Consulting Engagement,Time & Materials,2025-11-14,2026-08-14
PRJ2003,CUST1048,Customer_49_Optimization,Time & Materials,2023-07-12,2024-03-26
PRJ2004,CUST1015,Customer_16_Migration,Milestone-Based,2023-07-05,2024-05-05
PRJ2005,CUST1024,Customer_25_Consulting Engagement,Time & Materials,2025-07-16,2026-07-15
PRJ2006,CUST1029,Customer_30_Automation,Fixed Price,2026-06-30,2026-08-06
PRJ2007,CUST1003,Customer_4_Rollout,Time & Materials,2023-05-02,2023-06-19
PRJ2008,CUST1011,Customer_12_Expansion,Retainer,2026-05-13,2026-06-27
PRJ2009,CUST1001,Customer_2_Rollout,Time & Materials,2025-06-21,2026-05-19
PRJ2010,CUST1049,Customer_50_Expansion,Fixed Price,2026-08-04,2027-01-31
PRJ2011,CUST1018,Customer_19_Expansion,Retainer,2026-09-18,2026-11-30
PRJ2012,CUST1003,Customer_4_Platform Revamp,Retainer,2025-04-13,2026-02-19
PRJ2013,CUST1047,Customer_48_Automation,Retainer,2024-10-07,2025-03-03
PRJ2014,CUST1044,Customer_45_Consulting Engagement,Fixed Price,2023-03-02,2023-05-06
PRJ2015,CUST1036,Customer_37_Optimization,Milestone-Based,2025-03-31,2025-06-24
PRJ2016,CUST1037,Customer_38_Migration,Time & Materials,2023-05-17,2023-06-24
PRJ2017,CUST1025,Customer_26_Expansion,Milestone-Based,2024-03-05,2024-04-30
PRJ2018,CUST1000,Customer_1_Upgrade,Fixed Price,2026-12-22,2027-08-12
PRJ2019,CUST1016,Customer_17_Rollout,Retainer,2026-03-05,2027-02-20
PRJ2020,CUST1000,Customer_1_Optimization,Retainer,2024-11-20,2025-02-02
PRJ2021,CUST1031,Customer_32_Platform Revamp,Time & Materials,2023-02-01,2023-09-28
PRJ2022,CUST1027,Customer_28_Platform Revamp,Fixed Price,2024-05-19,2025-06-14
PRJ2023,CUST1004,Customer_5_Expansion,Time & Materials,2023-05-03,2024-01-26
PRJ2024,CUST1009,Customer_10_Rollout,Milestone-Based,2026-10-28,2027-09-09
PRJ2025,CUST1045,Customer_46_Data Integration,Milestone-Based,2025-11-08,2026-03-15
PRJ2026,CUST1001,Customer_2_Platform Revamp,Milestone-Based,2026-08-11,2027-03-25
PRJ2027,CUST1037,Customer_38_Migration,Retainer,2025-05-11,2025-09-26
PRJ2028,CUST1022,Customer_23_Migration,Time & Materials,2026-04-28,2026-10-30
PRJ2029,CUST1018,Customer_19_Consulting Engagement,Fixed Price,2024-01-19,2024-09-06
PRJ2030,CUST1016,Customer_17_Rollout,Milestone-Based,2023-03-28,2023-07-10
PRJ2031,CUST1036,Customer_37_Consulting Engagement,Retainer,2024-06-12,2024-07-16
PRJ2032,CUST1003,Customer_4_Platform Revamp,Fixed Price,2024-08-29,2025-04-13
PRJ2033,CUST1009,Customer_10_Consulting Engagement,Time & Materials,2023-07-04,2023-11-17
PRJ2034,CUST1009,Customer_10_Implementation,Retainer,2023-02-01,2024-01-04
PRJ2035,CUST1015,Customer_16_Data Integration,Milestone-Based,2026-06-28,2027-03-17
PRJ2036,CUST1049,Customer_50_Upgrade,Time & Materials,2026-03-22,2026-06-29
PRJ2037,CUST1039,Customer_40_Optimization,Time & Materials,2026-07-08,2026-10-24
PRJ2038,CUST1022,Customer_23_Rollout,Time & Materials,2026-06-04,2026-11-08
PRJ2039,CUST1009,Customer_10_Rollout,Milestone-Based,2026-07-12,2027-05-21
PRJ2040,CUST1017,Customer_18_Platform Revamp,Milestone-Based,2025-09-15,2026-08-20
PRJ2041,CUST1036,Customer_37_Platform Revamp,Fixed Price,2023-04-08,2023-06-30
PRJ2042,CUST1044,Customer_45_Rollout,Milestone-Based,2025-11-15,2026-04-24
PRJ2043,CUST1032,Customer_33_Consulting Engagement,Milestone-Based,2024-06-10,2025-02-10
PRJ2044,CUST1012,Customer_13_Data Integration,Fixed Price,2024-08-23,2025-06-15
PRJ2045,CUST1035,Customer_36_Expansion,Fixed Price,2023-09-16,2024-02-09
PRJ2046,CUST1046,Customer_47_Rollout,Fixed Price,2024-07-27,2024-12-12
PRJ2047,CUST1026,Customer_27_Upgrade,Milestone-Based,2023-05-22,2023-11-05
PRJ2048,CUST1031,Customer_32_Migration,Time & Materials,2024-05-25,2024-07-24
PRJ2049,CUST1030,Customer_31_Automation,Time & Materials,2024-07-31,2025-03-06
