employee_id,grade,skill,location,hire_date,exit_date,employment_status,last_rating,monthly_cost
EMP1000,G1,Business Analysis,Bangalore,2015-02-20,,Active,4.1,5525.6
EMP1001,G6,Backend Development,Bangalore,2016-04-05,2019-05-09,Exited,4.9,4364.27
EMP1002,G2,UI/UX Design,Remote,2015-09-06,,Active,3.6,6254.22
EMP1003,G1,Data Engineering,Sydney,2021-08-26,,Active,3.0,6265.2
EMP1004,G5,Frontend Development,Singapore,2019-05-25,,Active,4.2,8579.72
EMP1005,G1,Backend Development,Berlin,2022-06-07,2023-04-05,Exited,2.4,5623.88
EMP1006,G1,Data Science,Remote,2023-12-05,,Active,4.0,6401.95
EMP1007,G6,Project Management,Singapore,2023-12-07,,Active,3.0,13007.05
EMP1008,G3,Project Management,Toronto,2020-05-28,,Active,3.0,8357.83
EMP1009,G2,Sales Engineering,London,2022-04-03,,Active,4.4,7369.44
EMP1010,G5,Machine Learning,Toronto,2016-12-23,2024-06-18,Exited,2.3,6120.7
EMP1011,G6,Data Science,Sydney,2025-04-30,2026-05-06,Exited,2.9,7361.35
EMP1012,G1,QA/Testing,Singapore,2024-05-30,,Active,4.4,8891.44
EMP1013,G5,Sales Engineering,London,2023-11-06,,Active,2.8,13604.2
EMP1014,G2,Frontend Development,Berlin,2022-02-22,,Active,2.5,14891.58
EMP1015,G1,QA/Testing,Toronto,2016-09-14,,Active,4.6,14796.06
EMP1016,G1,QA/Testing,Bangalore,2020-07-01,2021-06-01,Exited,4.4,10668.88
EMP1017,G3,QA/Testing,Remote,2020-07-31,,Active,3.0,4123.05
EMP1018,G4,Backend Development,New York,2019-03-17,2022-11-13,Exited,2.4,10238.83
EMP1019,G5,Frontend Development,Singapore,2021-11-19,,Active,4.8,13531.56
EMP1020,G5,QA/Testing,Sydney,2022-09-24,,Active,2.7,6140.95
EMP1021,G3,Sales Engineering,Remote,2021-11-22,,Active,3.0,8087.32
EMP1022,G6,Frontend Development,Toronto,2020-11-10,,Active,4.1,10377.18
EMP1023,G6,Data Science,Sydney,2016-11-11,,Active,2.6,6700.61
EMP1024,G2,Business Analysis,Toronto,2024-11-23,,Active,3.6,6670.23
EMP1025,G6,Data Engineering,New York,2023-09-26,,Active,3.4,13106.57
EMP1026,G5,Frontend Development,Sydney,2018-01-27,,Active,4.4,8002.72
EMP1027,G4,Business Analysis,Singapore,2019-07-02,,Active,2.7,7542.04
EMP1028,G1,Frontend Development,London,2018-05-01,,Active,4.9,13732.98
EMP1029,G4,QA/Testing,Toronto,2022-10-11,,Active,4.0,8595.57
EMP1030,G2,Cloud Infrastructure,Remote,2015-10-06,,Active,4.5,14793.47
EMP1031,G3,Cloud Infrastructure,Toronto,2018-02-09,,Active,4.7,6706.52
EMP1032,G2,Frontend Development,Bangalore,2018-06-13,,Active,4.5,9950.2
EMP1033,G6,DevOps,Singapore,2018-08-02,,Active,2.1,13968.81
EMP1034,G6,QA/Testing,Toronto,2020-07-10,,Active,2.9,8264.07
