budget_id,customer_id,project_id,budget_month,budget_amount,actual_amount,budget_hours,actual_hours
BUD7001,CUST1037,PRJ2000,2025-07-01,27702.05,23237.58,824.5,850.4
BUD7002,CUST1037,PRJ2000,2025-08-01,34771.86,44533.04,728.8,830.0
BUD7003,CUST1037,PRJ2000,2025-09-01,31273.65,32888.58,781.1,715.6
BUD7004,CUST1037,PRJ2000,2025-10-01,35422.6,45706.03,730.3,884.8
BUD7005,CUST1037,PRJ2000,2025-11-01,26466.5,26113.4,697.4,829.0
BUD7006,CUST1037,PRJ2000,2025-12-01,27847.2,25628.49,778.1,911.5
BUD7007,CUST1037,PRJ2000,2026-01-01,34772.49,28373.46,811.1,937.8
BUD7008,CUST1037,PRJ2000,2026-02-01,30256.74,29714.33,828.1,1030.1
BUD7009,CUST1037,PRJ2000,2026-03-01,35325.01,42236.29,825.1,983.0
BUD7010,CUST1037,PRJ2000,2026-04-01,31680.7,40922.66,678.6,664.0
BUD7011,CUST1037,PRJ2000,2026-05-01,26354.17,25009.74,737.2,604.9
BUD7012,CUST1047,PRJ2001,2025-11-01,86810.61,70070.67,406.8,372.2
BUD7013,CUST1047,PRJ2001,2025-12-01,76269.6,88305.72,354.8,387.1
BUD7014,CUST1047,PRJ2001,2026-01-01,88626.0,103832.53,440.5,571.8
BUD7015,CUST1047,PRJ2001,2026-02-01,87455.15,89515.49,418.1,424.1
BUD7016,CUST1047,PRJ2001,2026-03-01,84713.42,101512.46,452.0,544.0
BUD7017,CUST1047,PRJ2001,2026-04-01,66445.89,49989.57,391.3,411.3
BUD7018,CUST1047,PRJ2001,2026-05-01,79283.8,96312.76,408.1,340.7
BUD7019,CUST1047,PRJ2001,2026-06-01,82738.94,68496.04,411.2,529.2
BUD7020,CUST1047,PRJ2001,2026-07-01,67054.08,68485.21,396.6,419.3
BUD7021,CUST1047,PRJ2001,2026-08-01,88619.74,109177.29,407.0,356.8
BUD7022,CUST1047,PRJ2001,2026-09-01,76992.1,83444.67,358.4,341.7
BUD7023,CUST1047,PRJ2001,2026-10-01,84039.84,82240.01,354.2,451.7
BUD7024,CUST1007,PRJ2002,2025-11-01,16569.55,17140.04,954.9,955.3
BUD7025,CUST1007,PRJ2002,2025-12-01,17900.39,20088.43,836.1,920.6
BUD7026,CUST1007,PRJ2002,2026-01-01,16809.47,11936.14,888.4,1035.2
BUD7027,CUST1007,PRJ2002,2026-02-01,14690.1,18983.58,970.0,1130.9
BUD7028,CUST1007,PRJ2002,2026-03-01,15273.54,14227.91,990.1,883.2
BUD7029,CUST1007,PRJ2002,2026-04-01,16067.35,17859.53,935.4,964.9
BUD7030,CUST1007,PRJ2002,2026-05-01,15301.13,13689.33,959.4,1020.7
BUD7031,CUST1007,PRJ2002,2026-06-01,13397.87,16351.78,795.3,659.5
BUD7032,CUST1007,PRJ2002,2026-07-01,15319.91,17756.46,774.4,694.7
BUD7033,CUST1007,PRJ2002,2026-08-01,13602.94,17116.93,833.6,961.5
BUD7034,CUST1048,PRJ2003,2023-07-01,13248.71,13522.14,1152.7,1348.6
BUD7035,CUST1048,PRJ2003,2023-08-01,13563.9,11725.93,1271.2,1452.9
BUD7036,CUST1048,PRJ2003,2023-09-01,17145.25,12020.68,1189.5,1308.7
BUD7037,CUST1048,PRJ2003,2023-10-01,14903.65,17446.88,1238.3,946.6
BUD7038,CUST1048,PRJ2003,2023-11-01,15508.03,19477.02,1208.1,1290.6
BUD7039,CUST1048,PRJ2003,2023-12-01,15722.62,12513.82,1251.6,1521.6
BUD7040,CUST1048,PRJ2003,2024-01-01,15568.52,12342.52,1205.5,1222.4
BUD7041,CUST1048,PRJ2003,2024-02-01,14785.55,18700.35,1056.0,1275.4
BUD7042,CUST1048,PRJ2003,2024-03-01,15011.63,19369.17,1010.6,778.8
BUD7043,CUST1015,PRJ2004,2023-07-01,53061.24,56360.26,846.6,853.1
BUD7044,CUST1015,PRJ2004,2023-08-01,54829.05,50099.57,886.3,1043.1
BUD7045,CUST1015,PRJ2004,2023-09-01,54386.84,40838.43,805.4,596.2
BUD7046,CUST1015,PRJ2004,2023-10-01,54672.07,64649.19,737.8,602.0
BUD7047,CUST1015,PRJ2004,2023-11-01,43981.65,52304.6,726.4,548.4
BUD7048,CUST1015,PRJ2004,2023-12-01,47540.7,48313.07,883.6,623.4
BUD7049,CUST1015,PRJ2004,2024-01-01,40995.01,36081.51,889.1,666.7
BUD7050,CUST1015,PRJ2004,2024-02-01,48314.11,42605.64,877.7,684.9
BUD7051,CUST1015,PRJ2004,2024-03-01,43425.51,50716.07,802.5,601.7
BUD7052,CUST1015,PRJ2004,2024-04-01,51702.2,53496.07,852.8,792.9
