bench_id,employee_id,bench_start_date,bench_end_date,bench_reason
BENCH6001,EMP1000,2018-11-11,2019-01-06,Client Budget Cut
BENCH6002,EMP1001,2016-04-24,2016-06-01,Between Projects
BENCH6003,EMP1001,2018-09-21,2018-10-17,Project Ended Early
BENCH6004,EMP1003,2025-04-27,2025-07-22,Between Projects
BENCH6005,EMP1004,2019-10-07,2019-12-08,Client Budget Cut
BENCH6006,EMP1004,2021-10-25,2021-11-10,Internal Training
BENCH6007,EMP1006,2023-12-23,2024-01-14,Awaiting Onboarding
BENCH6008,EMP1006,2026-06-27,2026-07-22,Project Ended Early
BENCH6009,EMP1006,2024-01-28,2024-03-09,Internal Training
BENCH6010,EMP1007,2025-08-20,2025-11-08,Project Ended Early
BENCH6011,EMP1008,2023-10-14,2023-12-11,Project Ended Early
BENCH6012,EMP1009,2024-07-14,2024-07-23,Relocation
BENCH6013,EMP1011,2025-07-08,2025-07-24,Relocation
BENCH6014,EMP1013,2025-12-07,2026-01-18,Visa/Compliance Hold
BENCH6015,EMP1013,2023-12-04,2023-12-12,Relocation
BENCH6016,EMP1014,2022-07-06,2022-07-18,Awaiting Onboarding
BENCH6017,EMP1018,2019-09-07,2019-11-30,Visa/Compliance Hold
BENCH6018,EMP1018,2021-07-20,2021-10-11,Awaiting Onboarding
BENCH6019,EMP1018,2020-07-24,2020-08-28,Performance Improvement Plan
BENCH6020,EMP1019,2025-09-11,2025-11-09,Relocation
BENCH6021,EMP1019,2022-05-07,2022-06-18,Visa/Compliance Hold
BENCH6022,EMP1020,2024-02-15,2024-03-28,Performance Improvement Plan
BENCH6023,EMP1020,2024-07-22,2024-10-16,Performance Improvement Plan
BENCH6024,EMP1020,2024-05-19,2024-07-21,Awaiting Onboarding
BENCH6025,EMP1021,2023-02-02,2023-02-12,Skill Realignment
BENCH6026,EMP1022,2023-07-24,2023-08-08,Skill Realignment
BENCH6027,EMP1022,2022-08-07,2022-10-16,Internal Training
BENCH6028,EMP1022,2022-03-24,2022-04-29,Performance Improvement Plan
BENCH6029,EMP1024,2026-07-29,2026-08-29,Visa/Compliance Hold
BENCH6030,EMP1024,2026-04-16,2026-06-12,Internal Training
BENCH6031,EMP1027,2021-03-24,2021-06-20,Project Ended Early
BENCH6032,EMP1027,2025-04-02,2025-06-14,Project Ended Early
BENCH6033,EMP1028,2018-10-19,2018-12-30,Internal Training
BENCH6034,EMP1029,2024-07-02,2024-08-14,Project Ended Early
BENCH6035,EMP1029,2024-03-24,2024-05-18,Skill Realignment
BENCH6036,EMP1032,2023-02-13,2023-03-30,Performance Improvement Plan
BENCH6037,EMP1032,2023-12-17,2024-01-23,Awaiting Onboarding
BENCH6038,EMP1033,2023-07-14,2023-08-19,Relocation
BENCH6039,EMP1033,2020-08-18,2020-10-24,Client Budget Cut
BENCH6040,EMP1034,2025-10-23,2026-01-10,Performance Improvement Plan
BENCH6041,EMP1034,2021-02-17,2021-05-13,Visa/Compliance Hold
BENCH6042,EMP1035,2023-09-09,2023-11-07,Relocation
BENCH6043,EMP1035,2024-05-26,2024-07-18,Project Ended Early
BENCH6044,EMP1035,2024-12-27,2025-01-05,Skill Realignment
BENCH6045,EMP1036,2026-06-23,2026-08-20,Project Ended Early
BENCH6046,EMP1036,2025-10-16,2026-01-14,Visa/Compliance Hold
